title,author,description,publisher,year,image_url,category
How to Practice,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins",As human beings we possess one common desire: the need for happiness and a meaningful life. In this book the Dalai Lama offers guidance for developing a daily practice in the quest to find true fulfilment.,"Simon & Schuster, New York",2002,https://www.dalailama.com/assets/books/_bookCover/How-to-Practice-new.jpg,Meditation
Illuminating the Path to Enlightenment,H.H. the Dalai Lama,"The Dalai Lama gives a commentary to Atisha's seminal text, a Lamp for the Path to Enlightenment, and Lama Tsong Khapa's Lines of Experience.","Thubten Dhargye Ling, Long Beach",2002,https://www.dalailama.com/assets/books/_bookCover/Illuminating-the-Path-to-Enlightenment-new.jpg,Meditation
Pocket Dalai Lama,"H.H. the Dalai Lama, compiled and edited by Mary Craig",A miniature compendium of inspirational wisdom from the collected works of the Dalai Lama.,Shambhala Publications,2002,https://www.dalailama.com/assets/books/_bookCover/Pocket-Dalai-Lama-new.jpg,Ethics
An Open Heart,"H.H. the Dalai Lama, edited by Nicholas Vreeland",How does one actually become a compassionate person? What are the mechanisms by which a selfish heart is transformed into a generous heart? Here is a series of meditations used for this purpose.,"Little Brown and Company, New York",2001,https://www.dalailama.com/assets/books/_bookCover/An-Open-Heart-new.jpg,Meditation
Stages of Meditation,"H.H. the Dalai Lama, translated by Geshe Lobsang Jordhen, Lobsang Choephel Ganchenpa and Jeremy Russell","A commentary to Kamalashila's quintessential meditation manual, Stages of Meditation. The Dalai Lama describes the nature of mind and how to train in it to achieve calm abiding - perfect clarity and mental stability - and penetrative insight into reality.","Snow Lion, Ithaca",2001,https://www.dalailama.com/assets/books/_bookCover/Stages-of-Meditation-new.jpg,Meditation
"The Transformed Mind - Reflections on Truth, Love and Happiness",H.H. the Dalai Lama,A compilation of lectures delivered by the Dalai Lama at the Dharma Celebrations held annually at Tushita centre in Delhi.,Holder & Stoughton,2001,https://www.dalailama.com/assets/books/_bookCover/Heart-of-Compassion-new.jpg,Ethics
The Meaning of Life - Bhuddhist Perspectives on Cause and Effect,"H.H. the Dalai Lama, translated and edited by Jeffrey Hopkins",Instructions on Buddhist philosophy given by the Dalai Lama in London in 1984.,"Wisdom Publications, Boston",2000,https://www.dalailama.com/assets/books/_bookCover/The-Meaning-of-Life-Bhuddhist-Perspectives-on-Cause-and-Effect-new.jpg,Buddhism
A Simple Path,H.H. the Dalai Lama,"The Dalai Lama outlines Buddhism and the four noble truths, and introduces the landscape and culture of Tibet through the photographs of Ian Cumming.","Thorson Publications, London",2000,https://www.dalailama.com/assets/books/_bookCover/Simple-Path-new1.jpg,Buddhism
Transforming the Mind,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa, edited by Dominique Side & Dr. Thupten Jinpa",Based on a commentary to Geshe Langri Tangpa's Eight Verses of Thought Transformation given in London in 1999.,"Thorson Publications, London",2000,https://www.dalailama.com/assets/books/_bookCover/Transforming-the-Mind-new.jpg,Meditation
The Little Book of Wisdom,H.H. the Dalai Lama,"A handy pocket-sized book in which the Dalai Lama offers insights on daily living, inner peace, compassion and justice.",Rider,2000,https://www.dalailama.com/assets/books/_bookCover/The-Little-Book-of-Wisdom-new.jpg,Ethics
Dalai Lama's Book of Wisdom,"Dalai Lama, edited by Matthew Bunson","The Dalai Lama's perspective on peace, love, religion, justice, social issues and the environment. This collection taken from his talks offers encouragement to all those eager to seek a more peaceful and liberating way of life.",Rider,2000,https://www.dalailama.com/assets/books/_bookCover/The-Dalai-Lamas-book-of-wisdom-new.jpg,Ethics
"Buddha Heart, Buddha Mind - Living the Four Noble Truths",H.H. the Dalai Lama,"his book contains eight talks given by the Dalai Lama in France at Institut Karma Ling in 1997, in which he expounded particularly on the Four Noble Truths of the Buddha.",Crossroad Publishing,2000,https://www.dalailama.com/assets/books/_bookCover/Buddha-Heart-Buddha-Mind-Living-the-Four-Noble-Truths-new.jpg,Buddhism
Essential Teachings,H.H. the Dalai Lama,"Truly inspiring commentaries by the Dalai Lama on the Thirty-Seven Practices of a Bodhisattva, and how these can be applied, plus Key of Madhyamika.","Souvenir Press Ltd., London",1999,https://www.dalailama.com/assets/books/_bookCover/Essential-Teachings-new.jpg,Buddhism
"Ancient Wisdom, Modern World - Ethics for a New Millennium",H.H. the Dalai Lama,"The by the Dalai Lama, in which he calls for a spiritual revolution. With wit, insight and good sense he demonstrates that there are universal principles we can draw on which transcend the dilemma of belief and disbelief.","Little Brown and Company, London",1999,https://www.dalailama.com/assets/books/_bookCover/Ancient-Wisdom-Modern-World-Ethics-for-a-New-Millennium-new.jpg,Ethics
Consciousness at the Crossroads - Conversations with the Dalai Lama on Brain Science and Buddhism,Conversations with the Dalai Lama on Brain Science and Buddhism,"Addressing many fundamental questions that have divided western science and religion for centuries, this book arose out of meetings between the Dalai Lama, neuroscientists and psychiatrists.","Snow Lion Publications, Ithaca",1999,https://www.dalailama.com/assets/books/_bookCover/Consciousness-at-the-Crossroads-Conversations-with-the-Dalai-Lama-on-Brain-Science-and-Buddhism-new.jpg,Science
The Heart of the Buddha's Path,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa, edited by Dominique Side & Dr. Thupten Jinpa",The Dalai Lama describes in clear and simple terms how to bring wisdom and compassion into our daily lives.,"Thorsons, London",1999,https://www.dalailama.com/assets/books/_bookCover/The-Heart-of-the-Buddhas-Path-new.jpg,Buddhism
The Little Book of Buddhism,"H.H. the Dalai Lama, compiled and edited by Renuka Singh",Thought-provoking quotations about the importance of love and compassion and the need for individual responsibility.,"Penguin Books, New Delhi",1999,https://www.dalailama.com/assets/books/_bookCover/The-Little-Book-of-Buddhism-new.jpg,Buddhism
Eight Verses for Training the Mind,H.H. the Dalai Lama,His Holiness's explanation of Lojong.,"Snow Lion Publications, Ithaca",1999,https://www.dalailama.com/assets/books/_bookCover/Training-the-Mind-new.jpg,Buddhism
Introduction to Buddhism,H.H. the Dalai Lama,A brief introduction to Buddhism followed by a simplified practice of tantric meditation especially designed for Western non-initiates.,"Paljor Publications, New Delhi",1999,https://www.dalailama.com/assets/books/_bookCover/Introduction-to-Buddhism-new.jpg,Buddhism
"Imagine All the People - The Dalai Lama on Money, Politics and Life as it Coud Be",H.H. the Dalai Lama with Fabian Quaki,"Fabien Ouaki, a prominent French businessman, asks the Dalai Lama for his thoughts on the everyday issues that fill our media and our lives.",Wisdom Publications,1999,https://www.dalailama.com/assets/books/_bookCover/Imagine-All-the-People-The-Dalai-Lama-on-Money-Politics-and-Life-as-it-Coud-Be-new.jpg,Ethics
The Power of Buddhism,H.H. the Dalai Lama ahd Jean-Claude Carriere,"The Dalai Lama has spoken extensively about the practice of Tibetan Buddhism, but he has never before directly addressed Buddhism's response to humanity's challenges in approaching this millennium as he does in these dialogues.",Newleaf,1999,https://www.dalailama.com/assets/books/_bookCover/The-Power-of-Buddhism-new.jpg,Buddhism
The Art of Happiness,H.H. the Dalai Lama & Howard C. Cutler,"A guide to achieving happiness, written with contemporary western preoccupations in mind.","Riverhead Books, New York",1998,https://www.dalailama.com/assets/books/_bookCover/The-Art-of-Happiness-new.jpg,Ethics
The Four Noble Truths,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa, edited by Dominique Side & Dr. Thupten Jinpa",From HH the Dalai Lama's first teaching in the west on 'The Four Noble Truths'– the heart of the Buddhist’s teachings.,"Thorsons, London",1998,https://www.dalailama.com/assets/books/_bookCover/The-Four-Noble-Truths-new.jpg,Buddhism
The Path to Tranquillity - Daily Meditations,"H.H. the Dalai Lama, compiled and edited by Renuka Singh", ,"Penguin Books, New Delhi",1998,https://www.dalailama.com/assets/books/_bookCover/The-Path-to-Tranquillity-Daily-Meditations-new.jpg,Meditation
The Political Philosophy of His Holiness the Dalai Lama - Selected Speeches and Writings,"H.H. the Dalai Lama, edited by A.A. Shiromany", ,"Tibetan Parliamentary and Policy Research Center, New Delhi",1998,https://www.dalailama.com/assets/books/_bookCover/The-Political-Philosophy-of-His-Holiness-the-Dalai-Lama-Selected-Speeches-and-Writings-mew.jpg,Ethics
Spiritual Advice for buddhists and Christians,H.H. the Dalai Lama,The Dalai Lama speaks on four major themes in spirituality: prayer and meditation; the stages in the process of spiritual development; the role of the teacher and the community; and the spiritual goals of personal and social transformation.,Continuum Publishing,1998,https://www.dalailama.com/assets/books/_bookCover/Spiritual-Advice-for-buddhists-and-Christians-new.jpg,Ethics
The Gelug/Kagyu Tradition of Mahamudra,H.H. the Dalai Lama & Alexander Berzin,"This book presents an exceptional commentary on the First Panchen Lama's text on Mahamudra that uses Kagyu-style techniques for recognizing the conventional nature of the mind, and typical Gelug methods in recognizing its deepest nature.","Snow Lion Publication, Ithaca",1997,https://www.dalailama.com/assets/books/_bookCover/The-Gelug_Kagyu-Tradition-of-Mahamudra-new.jpg,Buddhism
Healing Anger - The Power of Patience from a Buddhist Perspective,"H.H. the Dalai Lama, translated by Dr. Thupten Jinpa",Techniques and methods for developing patience that are very relevant to Buddhists and to everyone seeking to improve themselves based on the section on patience from the 'Guide to the Bodhisattvas Way of Life' by the Indian master Shantideva.,"Snow Lion Publication, Ithaca",1997,https://www.dalailama.com/assets/books/_bookCover/Healing-Anger-The-Power-of-Patience-from-a-Buddhist-Perspective-new.jpg,Ethics
The Joy of Living and Dying in Peace,"H.H. the Dalai Lama, edited by John Avedon & Donald S. Lopez","The third in the popular Library of Tibet series, this book addresses the universal questions of how we can achieve meaningful lives and peaceful deaths.",Harper Collins,1997,https://www.dalailama.com/assets/books/_bookCover/The-Joy-of-Living-and-Dying-in-Peace-new.jpg,Ethics
"Love, Kindness and Universal Responsibility",H.H. the Dalai Lama,"This compilation of three previous works reveals the philosophy of His Holiness, based on the concept of universal responsibility and reverence for all living beings.","Paljor Publications, New Delhi",1997,https://www.dalailama.com/assets/books/_bookCover/Love-Kindness-and-Universal-Responsibility-new.jpg,Ethics
"Sleeping, Dreaming and Dying","H.H. the Dalai Lama, edited and narrated by Francisco Varela","For the modern scientist, the transitional states of sleeping, dreaming and dying lie at the forefront of research in cognitive science, neurology and psychology, and for the Buddhist practitioner these same states represent crucial opportunities to transform consciousness itself.","Wisdom Publications, Boston",1997,https://www.dalailama.com/assets/books/_bookCover/Sleeping-Dreaming-and-Dying-new.jpg,Science
Buddha Nature,H.H. the Dalai Lama,"The Buddhist leader explains his ideas of nirvana and presents the complex concept of buddha nature in the perspective of Christian ideas of self, immortality and an eternal soul.",Bluestar Communications,1997,https://www.dalailama.com/assets/books/_bookCover/Buddha-Nature-new.jpg,Buddhism
Beyond Dogma,H.H. the Dalai Lama,"During a series of public lectures and question-and-answer sessions with political activists, religious leaders, students, scientists, Buddhist practitioners, and interfaith organizations, His Holiness responds to a wider range of contemporary social, political, and religious issues.","Souvenir Press Ltd., London",1996,https://www.dalailama.com/assets/books/_bookCover/Beyond-Dogma-new.jpg,Ethics
