title,author,description,publisher,year,image_url,category
Opening of the Eye of New Awareness,"H.H. the Dalai Lama, translated by Donald S. Lopez with Jeffrey Hopkins","A succinct yet thorough presentation of the doctrines of Tibetan Buddhism written by the Dalai Lama, 'for those who do not have the leisure to study the great texts, profound and full of impact.' ",Wisdom Publication London,1985,https://www.dalailama.com/assets/books/_bookCover/Opening-of-the-Eye-of-New-Awareness-new2.jpg,Buddhism
Opening the Mind and Generating a Good Heart,H.H. the Dalai Lama,A concise survey of Buddhist training explaining how generating kindness is the core of the Buddha's teaching.,"Library of Tibetan Works & Archives, Dharamsala",1985,https://www.dalailama.com/assets/books/_bookCover/Opening-the-Mind-and-Generating-a-Good-Heart-new.jpg,Meditation
"Kindness, Clarity and Insight","H.H. the Dalai Lama, translated and edited by Jeffery Hopkins","A warm and inspiring collection of talks, not limited to Buddhists or to the religious, the Dalai Lama's direct, practical message speaks to people everywhere of the importance of kindness, love, and compassion.","Snow Lion Publication, Ithaca",1984,https://www.dalailama.com/assets/books/_bookCover/Kindness-Clarity-and-Insight-new.jpg,Ethics
Advice from Buddha Shakyamuni,H.H. the Dalai Lama,"A brief outline and commentary on the discipline to be observed by a fully ordained Tibetan Buddhist monk, based on the intermediary verses of the Vinaya.","Library of Tibetan Works & Archives, Dharamsala",1982,https://www.dalailama.com/assets/books/_bookCover/Advice-from-Buddha-Shakyamuni-new.jpg,Buddhism
Four Essential Buddhist Commentaries,H.H. the Dalai Lama,"Commentaries on the 37 Bodhisattva Practices, the 3 Principles of the Path, the 8 Verses on Mind Training and the Song of 4 Mindfulnesses.","Library of Tibetan Works & Archives, Dharamsala",1982,https://www.dalailama.com/assets/books/_bookCover/Four-Essential-Buddhist-Commentaries-new.jpg,Buddhism
Deity Yoga,"H.H. the Dalai Lama, Tshongkhapa and Jeffrey Hopkins","A continuation of Tantra in Tibet, with a commentary by the Dalai Lama. Focusing on the practice of deity yoga, it describes the profound process of meditation in the Action and Performance Tantras.","Snow Lion Publications, Ithaca",1981,https://www.dalailama.com/assets/books/_bookCover/Deity-Yoga-new.jpg,Buddhism
Universal Responsibility and the Good Heart,H.H. the Dalai Lama,A collection of articles and interviews with the Dalai Lama reflecting his thoughts and activities over the past twenty years.,"Library of Tibetan Works & Archives, Dharamsala",1977,https://www.dalailama.com/assets/books/_bookCover/Universal-Responsibility-and-the-Good-Heart-new.jpg,Ethics
The Buddhism of Tibet and the Key to the Middle Way,"H.H. the Dalai Lama, translated by Jeffrey Hopkins, Lati Rinpoche and Anne Carolyn Klein","Unlike most books by the Dalai Lama which are edited compilations of talks that he has given, this book consists of two texts that he himself wrote and two that he chose.","Wisdom Publication, London",1975,https://www.dalailama.com/assets/books/_bookCover/The-Buddhism-of-Tibet-and-the-Key-to-the-Middle-Way-new.jpg,Buddhism
The Opening of the Wisdom Eye,H.H. the Dalai Lama,Mahayana Buddhism explained by the spiritual leader of Tibetan Buddhism.,"The Theosophical Publishing House, Illinois",1966,https://www.dalailama.com/assets/books/_bookCover/The-Opening-of-the-Wisdom-Eye-new.jpg,Buddhism
My Land and My People,H.H. the Dalai Lama,"The dignified and compelling early autobiography of the Dalai Lama, spiritual and temporal leader of Tibet.","Potala Publications, New York",1962,https://www.dalailama.com/assets/books/_bookCover/My-Land-and-My-People-new1.jpg,Autobiography
